id,device_type_id,template_code,template_name,create_date,update_date,discriminator_type
"1","10","default","デフォルト","2017-03-07 10:14:52","2017-03-07 10:14:52","template"
"1","10","vi","Ec-cube VN Team","2017-03-07 10:14:52","2017-03-07 10:14:52","template"
